,Max Acc thresh,Max Acc,Max individual Acc thresh,Max individual Acc,Null Acc,Max F1 thresh,Max F1,Max individual F1 thresh,Max individual F1,Null F1,AUROC,Individual AUROC,Null AUROC,runtime,data_preprocess.resolution,data_preprocess.normalize,label_path,method.max_lag,method.filter_mode,method.architecture
2025-02-19 22:12:32.8295,0.380788972223353,0.6782720825274017,0.0549606338495107,0.7098646034816247,0.6653771760154739,-0.0511965114575928,0.5018129079042785,0.0919932562693224,0.5564244266371926,0.5014492753623188,0.4097565290286926,0.4233156028368794,0.5,0 days 00:15:58.026251,6H,False,close_3,5,,
2025-02-19 22:15:26.6352,0.6797947893590658,0.6750483558994197,0.0965532134117369,0.7127659574468085,0.6653771760154739,37.9556037877302,0.5015704276395265,0.2487092890815389,0.5591876208897486,0.5014492753623188,0.4047937110722767,0.4154174725983236,0.5,0 days 00:18:24.459933,12H,False,close_3,5,,
2025-02-19 22:08:28.2827,0.7741883848651185,0.6740812379110251,0.0881640336812743,0.7101869761444228,0.6653771760154739,50.800305144975695,0.5015704276395265,0.3525273172399575,0.5577323385834023,0.5014492753623188,0.3989881592507952,0.4154980657640232,0.5,0 days 00:11:50.927689,12H,False,close_3,3,,
2025-02-19 22:32:51.0440,0.296153337926048,0.6676337846550613,0.0266157395442803,0.7021276595744681,0.6653771760154739,-0.0457750608204342,0.5014492753623188,0.0255818150794246,0.5463387676153634,0.5014492753623188,0.4010848418992995,0.4109042553191489,0.5,0 days 00:36:28.886372,1h,False,close_3,3,,
2025-02-19 21:55:49.0529,0.193188946685921,0.6653771760154739,0.0018831896865581,0.6689232753062538,0.6653771760154739,0.0921914469589224,0.5014492753623188,0.0025474619791202,0.5051579626047712,0.5014492753623188,0.4987504854296425,0.4984284332688588,0.5,0 days 00:00:14.242962,1h,True,close_3,3,,
2025-02-19 21:56:15.3202,0.1537439427308554,0.6660219213410703,0.0025444655771202,0.6689232753062538,0.6653771760154739,0.0,0.5014492753623188,0.0036016696438142,0.5051579626047711,0.5014492753623188,0.5001934717181222,0.5009671179883946,0.5,0 days 00:00:08.933979,24H,True,close_3,3,,
2025-02-19 22:02:03.1439,0.8049895927661873,0.6744036105738234,0.1046484177709427,0.7095422308188265,0.6653771760154739,64.75189560619229,0.5014492753623188,0.5075353730349275,0.5595099935525467,0.5014492753623188,0.3896382708996131,0.4054239200515796,0.5,0 days 00:04:49.612543,24H,False,close_3,3,,
2025-02-19 22:08:18.7607,0.4150430125336678,0.6744036105738234,0.1391828450280215,0.7147001934235977,0.6653771760154739,49.60464426785876,0.5014492753623188,0.3217726186546202,0.5628995118356821,0.5014492753623188,0.4009065398575077,0.4134429400386847,0.5,0 days 00:06:09.961821,24H,False,close_3,5,,
2025-02-19 21:56:03.5805,0.4663203625330065,0.6653771760154739,0.0042897636924141,0.6689232753062538,0.6653771760154739,0.1136418529718311,0.5014492753623188,0.0046407045055921,0.5051579626047711,0.5014492753623188,0.4982669228241549,0.4983075435203095,0.5,0 days 00:00:11.055073,12H,True,close_3,3,,
2025-02-19 22:07:47.5859,0.3916516560789057,0.6776273372018052,0.0541712857629436,0.7101869761444228,0.6653771760154739,-0.1472968444263791,0.5018129079042785,0.0877991853997506,0.5583033987289305,0.5014492753623188,0.4125498498902182,0.4281511927788523,0.5,0 days 00:11:23.631248,6H,False,close_3,3,,
2025-02-19 21:56:25.1947,0.2626990771302475,0.6653771760154739,0.0024348447476086,0.6686009026434557,0.6653771760154739,0.0633084677386838,0.5014492753623188,0.0025082382890155,0.5045132172791746,0.5014492753623188,0.4965823886125675,0.4968568665377176,0.5,0 days 00:00:26.910724,6H,True,close_3,5,,
2025-02-19 22:15:17.8459,0.2004127904340773,0.6669890393294649,0.0224026181171817,0.7030947775628625,0.6653771760154739,-0.0013050905604735,0.5019417475728155,0.0191941270709787,0.5514783089251174,0.5014492753623188,0.3904968745799166,0.401958413926499,0.5,0 days 00:18:59.473748,15min,False,close_3,3,,
2025-02-19 21:56:16.3066,0.0955331363228279,0.6656995486782721,0.0020069525699406,0.6692456479690521,0.6653771760154739,0.1228601253283274,0.5014492753623188,0.0026745253116544,0.5054803352675694,0.5014492753623188,0.499223079192245,0.4990328820116054,0.5,0 days 00:00:37.945141,1h,True,close_3,5,,
2025-02-19 21:56:30.1941,0.1511111919395378,0.6653771760154739,0.0020584942617809,0.6686009026434557,0.6653771760154739,0.0910235787357356,0.5014492753623188,0.00281172882327,0.5045132172791746,0.5014492753623188,0.4982741575928663,0.4983075435203095,0.5,0 days 00:00:42.335353,6H,True,close_3,3,,
2025-02-19 21:56:21.3942,0.1530876399325954,0.6660219213410703,0.0024670327317424,0.6682785299806575,0.6653771760154739,0.0,0.5014492753623188,0.0033356780394125,0.5041908446163765,0.5014492753623188,0.4980372772624756,0.4989119922630561,0.5,0 days 00:00:09.281469,24H,True,close_3,5,,
2025-02-19 21:55:54.3220,0.057173544661737,0.6653771760154739,0.0016956942519895,0.6686009026434557,0.6653771760154739,0.1118822512737711,0.5014492753623188,0.0019875777925064,0.504835589941973,0.5014492753623188,0.4984820988484115,0.4983075435203095,0.5,0 days 00:00:21.409921,15min,True,close_3,5,,
2025-02-19 21:56:13.5064,0.1223702938123542,0.6660219213410703,0.0021643789639644,0.6686009026434557,0.6653771760154739,0.1492320656248222,0.5014492753623188,0.0028250657955746,0.504835589941973,0.5014492753623188,0.498492367552389,0.4983075435203095,0.5,0 days 00:00:41.699665,15min,True,close_3,3,,
